address,category,date,dayofweek,descript,incidntnum,location,pddistrict,pdid,resolution,time,x,y
3000 Block of ANZA ST,SECONDARY CODES,2011-10-28T00:00:00.000,Friday,DOMESTIC VIOLENCE,110868956,"{u'type': u'Point', u'coordinates': [-122.480859763, 37.7783900512]}",RICHMOND,11086895615200,"ARREST, BOOKED",03:37,-122.480859762603,37.7783900511677
300 Block of 15TH AV,NON-CRIMINAL,2011-09-09T00:00:00.000,Friday,"DEATH REPORT, CAUSE UNKNOWN",110731820,"{u'type': u'Point', u'coordinates': [-122.474092682, 37.7811931466]}",RICHMOND,11073182061030,NONE,12:00,-122.474092681598,37.7811931466485
ANZA ST / STANYAN ST,SUSPICIOUS OCC,2011-11-02T00:00:00.000,Wednesday,SUSPICIOUS OCCURRENCE,110885314,"{u'type': u'Point', u'coordinates': [-122.4558426, 37.7799399733]}",RICHMOND,11088531464070,NONE,12:00,-122.455842599569,37.7799399733199
SACRAMENTO ST / LOCUST ST,LARCENY/THEFT,2011-10-12T00:00:00.000,Wednesday,GRAND THEFT FROM UNLOCKED AUTO,110823922,"{u'type': u'Point', u'coordinates': [-122.451948334, 37.7875503347]}",RICHMOND,11082392206224,NONE,16:30,-122.451948333642,37.7875503346952
600 Block of 11TH AV,LARCENY/THEFT,2011-11-20T00:00:00.000,Sunday,GRAND THEFT FROM A BUILDING,110950202,"{u'type': u'Point', u'coordinates': [-122.469361746, 37.7760368194]}",RICHMOND,11095020206304,NONE,12:00,-122.469361746107,37.7760368194488
3700 Block of CALIFORNIA ST,NON-CRIMINAL,2011-09-15T00:00:00.000,Thursday,SHELTER,110743643,"{u'type': u'Point', u'coordinates': [-122.455468425, 37.7862109737]}",RICHMOND,11074364329120,NONE,15:39,-122.455468425157,37.786210973675
600 Block of 25TH AV,VANDALISM,2011-10-10T00:00:00.000,Monday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",110819426,"{u'type': u'Point', u'coordinates': [-122.484595739, 37.7772129804]}",RICHMOND,11081942628160,NONE,18:00,-122.484595739169,37.7772129804302
CALIFORNIA ST / 23RD AV,NON-CRIMINAL,2011-08-14T00:00:00.000,Sunday,PROPERTY FOR IDENTIFICATION,110650872,"{u'type': u'Point', u'coordinates': [-122.482869635, 37.7839770141]}",RICHMOND,11065087273000,"ARREST, BOOKED",14:45,-122.482869635033,37.7839770140583
0 Block of 27TH AV,VEHICLE THEFT,2011-10-16T00:00:00.000,Sunday,STOLEN AUTOMOBILE,110851810,"{u'type': u'Point', u'coordinates': [-122.487397499, 37.7879521896]}",RICHMOND,11085181007021,NONE,07:30,-122.487397498629,37.7879521895641
500 Block of JOHNFKENNEDY DR,SUSPICIOUS OCC,2011-12-12T00:00:00.000,Monday,SUSPICIOUS OCCURRENCE,110996416,"{u'type': u'Point', u'coordinates': [-122.466204668, 37.7725405392]}",RICHMOND,11099641664070,NONE,16:00,-122.466204667893,37.7725405391593
GEARY BL / 9TH AV,WARRANTS,2011-11-08T00:00:00.000,Tuesday,ENROUTE TO DEPARTMENT OF CORRECTIONS,110901722,"{u'type': u'Point', u'coordinates': [-122.467489289, 37.7808779197]}",RICHMOND,11090172262020,"ARREST, BOOKED",11:41,-122.467489289466,37.7808779197338
5300 Block of GEARY BL,ASSAULT,2011-09-05T00:00:00.000,Monday,AGGRAVATED ASSAULT WITH BODILY FORCE,110713828,"{u'type': u'Point', u'coordinates': [-122.476719026, 37.7805797943]}",RICHMOND,11071382804014,NONE,19:03,-122.476719025527,37.7805797943167
32ND AV / CLEMENT ST,OTHER OFFENSES,2011-11-09T00:00:00.000,Wednesday,BEYOND PARENTAL CONTROL,110904641,"{u'type': u'Point', u'coordinates': [-122.492374471, 37.7816741487]}",RICHMOND,11090464129010,JUVENILE ADMONISHED,11:55,-122.492374470766,37.7816741486722
7700 Block of GEARY BL,ASSAULT,2011-08-29T00:00:00.000,Monday,BATTERY OF A POLICE OFFICER,110692200,"{u'type': u'Point', u'coordinates': [-122.502432526, 37.7796175446]}",RICHMOND,11069220004154,"ARREST, CITED",02:13,-122.502432526326,37.7796175446427
600 Block of 17TH AV,BURGLARY,2011-10-27T00:00:00.000,Thursday,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",110870199,"{u'type': u'Point', u'coordinates': [-122.475887383, 37.7757394027]}",RICHMOND,11087019905043,NONE,15:30,-122.475887383228,37.7757394027378
400 Block of 33RD AV,ASSAULT,2011-11-20T00:00:00.000,Sunday,BATTERY,110935204,"{u'type': u'Point', u'coordinates': [-122.493443008, 37.7806357948]}",RICHMOND,11093520404134,NONE,11:10,-122.493443008253,37.7806357947758
3000 Block of ANZA ST,OTHER OFFENSES,2011-12-14T00:00:00.000,Wednesday,"STAY AWAY ORDER VIOLATION, DV RELATED",110999385,"{u'type': u'Point', u'coordinates': [-122.480859763, 37.7783900512]}",RICHMOND,11099938515151,NONE,14:05,-122.480859762603,37.7783900511677
800 Block of 24TH AV,WARRANTS,2011-08-28T00:00:00.000,Sunday,WARRANT ARREST,110690743,"{u'type': u'Point', u'coordinates': [-122.483254688, 37.7735307317]}",RICHMOND,11069074363010,"ARREST, BOOKED",13:00,-122.48325468846,37.7735307316986
500 Block of 23RD AV,NON-CRIMINAL,2011-09-08T00:00:00.000,Thursday,"DEATH REPORT, CAUSE UNKNOWN",110722562,"{u'type': u'Point', u'coordinates': [-122.482453501, 37.7773103731]}",RICHMOND,11072256261030,NONE,15:00,-122.482453500706,37.7773103730721
CLEMENT ST / 8TH AV,NON-CRIMINAL,2011-10-08T00:00:00.000,Saturday,LOST PROPERTY,110814357,"{u'type': u'Point', u'coordinates': [-122.466565489, 37.7828491552]}",RICHMOND,11081435771000,NONE,11:00,-122.466565488599,37.782849155153
CLEMENT ST / 18TH AV,NON-CRIMINAL,2011-10-07T00:00:00.000,Friday,LOST PROPERTY,110812088,"{u'type': u'Point', u'coordinates': [-122.466565489, 37.7828491552]}",RICHMOND,11081208871000,NONE,15:00,-122.466565488599,37.782849155153
5000 Block of GEARY BL,BURGLARY,2011-09-06T00:00:00.000,Tuesday,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",110717240,"{u'type': u'Point', u'coordinates': [-122.473430748, 37.7807259518]}",RICHMOND,11071724005151,NONE,20:01,-122.473430747728,37.7807259518056
800 Block of CLEMENT ST,LARCENY/THEFT,2011-10-30T00:00:00.000,Sunday,GRAND THEFT FROM A BUILDING,110887586,"{u'type': u'Point', u'coordinates': [-122.468181258, 37.7828309193]}",RICHMOND,11088758606304,NONE,18:30,-122.468181258329,37.7828309192696
800 Block of LA PLAYA ST,TRESPASS,2011-11-16T00:00:00.000,Wednesday,TRESPASSING,110924611,"{u'type': u'Point', u'coordinates': [-122.509895418, 37.7723131977]}",RICHMOND,11092461127195,"ARREST, CITED",14:24,-122.509895418239,37.7723131976814
3900 Block of GEARY BL,NON-CRIMINAL,2011-10-11T00:00:00.000,Tuesday,"AIDED CASE, MENTAL DISTURBED",110821108,"{u'type': u'Point', u'coordinates': [-122.461620169, 37.7812597611]}",RICHMOND,11082110864020,PSYCHOPATHIC CASE,22:18,-122.461620169101,37.7812597610597
700 Block of 30TH AV,ASSAULT,2011-12-07T00:00:00.000,Wednesday,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,110979434,"{u'type': u'Point', u'coordinates': [-122.489815423, 37.775103724]}",RICHMOND,11097943404013,"ARREST, BOOKED",02:08,-122.489815422525,37.7751037239617
300 Block of 9TH AV,ASSAULT,2011-09-22T00:00:00.000,Thursday,BATTERY,110768265,"{u'type': u'Point', u'coordinates': [-122.467626106, 37.7818193393]}",RICHMOND,11076826504134,EXCEPTIONAL CLEARANCE,21:30,-122.467626105696,37.781819339314
200 Block of 4TH AV,SECONDARY CODES,2011-11-18T00:00:00.000,Friday,DOMESTIC VIOLENCE,110929025,"{u'type': u'Point', u'coordinates': [-122.462277124, 37.7839578808]}",RICHMOND,11092902515200,NONE,01:36,-122.462277124245,37.7839578807834
100 Block of COMMONWEALTH AV,ASSAULT,2011-08-25T00:00:00.000,Thursday,INFLICT INJURY ON COHABITEE,110681015,"{u'type': u'Point', u'coordinates': [-122.455546768, 37.7826837773]}",RICHMOND,11068101515040,NONE,06:00,-122.455546768072,37.782683777273
FULTON ST / 47TH AV,DRUG/NARCOTIC,2011-09-09T00:00:00.000,Friday,POSSESSION OF NARCOTICS PARAPHERNALIA,110725798,"{u'type': u'Point', u'coordinates': [-122.507750131, 37.7714939969]}",RICHMOND,11072579816710,"ARREST, BOOKED",16:44,-122.507750131004,37.7714939969416
400 Block of 42ND AV,OTHER OFFENSES,2011-10-31T00:00:00.000,Monday,"FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY",110888067,"{u'type': u'Point', u'coordinates': [-122.503098446, 37.7803900796]}",RICHMOND,11088806709024,NONE,09:30,-122.503098446489,37.7803900796193
CALIFORNIA ST / SPRUCE ST,OTHER OFFENSES,2011-09-04T00:00:00.000,Sunday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",110709968,"{u'type': u'Point', u'coordinates': [-122.453406861, 37.7864164196]}",RICHMOND,11070996865016,"ARREST, CITED",06:55,-122.45340686052,37.786416419594
400 Block of CLEMENT ST,DRUNKENNESS,2011-10-03T00:00:00.000,Monday,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,110799050,"{u'type': u'Point', u'coordinates': [-122.463902073, 37.7830189319]}",RICHMOND,11079905019090,"ARREST, BOOKED",22:30,-122.463902072852,37.7830189318905
9TH AV / LINCOLN WY,DRIVING UNDER THE INFLUENCE,2011-09-25T00:00:00.000,Sunday,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,110772426,"{u'type': u'Point', u'coordinates': [-122.466442684, 37.7659245298]}",RICHMOND,11077242665050,"ARREST, BOOKED",04:04,-122.466442684206,37.7659245297691
4100 Block of GEARY BL,DRUG/NARCOTIC,2011-11-30T00:00:00.000,Wednesday,POSSESSION OF METH-AMPHETAMINE,110960110,"{u'type': u'Point', u'coordinates': [-122.463764262, 37.7811749337]}",RICHMOND,11096011016650,"ARREST, BOOKED",01:52,-122.463764261964,37.7811749336778
2600 Block of CALIFORNIA ST,SUSPICIOUS OCC,2011-10-12T00:00:00.000,Wednesday,INVESTIGATIVE DETENTION,110823148,"{u'type': u'Point', u'coordinates': [-122.437978008, 37.7884353561]}",RICHMOND,11082314864085,NONE,09:00,-122.437978008235,37.7884353561249
25TH AV / CALIFORNIA ST,ROBBERY,2011-09-22T00:00:00.000,Thursday,"ROBBERY, BODILY FORCE",110764699,"{u'type': u'Point', u'coordinates': [-122.485009507, 37.7838805726]}",RICHMOND,11076469903074,JUVENILE BOOKED,14:15,-122.485009507235,37.7838805725658
25TH AV / LAKE ST,OTHER OFFENSES,2011-10-01T00:00:00.000,Saturday,TRAFFIC VIOLATION,110791357,"{u'type': u'Point', u'coordinates': [-122.485149293, 37.7857433989]}",RICHMOND,11079135765015,"ARREST, CITED",07:20,-122.48514929277,37.785743398885
500 Block of 2ND AV,FRAUD,2011-09-21T00:00:00.000,Wednesday,"CREDIT CARD, THEFT BY USE OF",110988601,"{u'type': u'Point', u'coordinates': [-122.459860382, 37.7783352892]}",RICHMOND,11098860109320,NONE,12:00,-122.459860381523,37.7783352891628
1300 Block of BAKER ST,ASSAULT,2011-09-28T00:00:00.000,Wednesday,AGGRAVATED ASSAULT WITH A GUN,110783398,"{u'type': u'Point', u'coordinates': [-122.442961384, 37.7833927127]}",RICHMOND,11078339804011,NONE,17:24,-122.44296138394,37.7833927127465
3100 Block of ANZA ST,NON-CRIMINAL,2011-10-25T00:00:00.000,Tuesday,AIDED CASE,110861938,"{u'type': u'Point', u'coordinates': [-122.481923144, 37.7782318637]}",RICHMOND,11086193851040,PSYCHOPATHIC CASE,16:35,-122.481923143694,37.7782318637262
2600 Block of MCALLISTER ST,BURGLARY,2011-08-31T00:00:00.000,Wednesday,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",110700803,"{u'type': u'Point', u'coordinates': [-122.455984096, 37.7755994742]}",RICHMOND,11070080305043,NONE,13:30,-122.455984096274,37.7755994742221
500 Block of 14TH AV,VEHICLE THEFT,2011-10-13T00:00:00.000,Thursday,STOLEN TRUCK,110827667,"{u'type': u'Point', u'coordinates': [-122.472707845, 37.7777528845]}",RICHMOND,11082766707025,NONE,22:00,-122.472707844576,37.7777528844693
3900 Block of GEARY BL,STOLEN PROPERTY,2011-09-16T00:00:00.000,Friday,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING",110746841,"{u'type': u'Point', u'coordinates': [-122.461603689, 37.7810177789]}",RICHMOND,11074684111012,"ARREST, BOOKED",15:13,-122.461603688677,37.7810177788514
2000 Block of LAKE ST,FRAUD,2011-10-15T00:00:00.000,Saturday,FRAUDULENT USE OF AUTOMATED TELLER CARD,110840813,"{u'type': u'Point', u'coordinates': [-122.481408939, 37.7859635605]}",RICHMOND,11084081309250,PROSECUTED BY OUTSIDE AGENCY,16:00,-122.48140893919,37.7859635604867
600 Block of 48TH AV,ASSAULT,2011-08-24T00:00:00.000,Wednesday,BATTERY,110678125,"{u'type': u'Point', u'coordinates': [-122.509056557, 37.7756418149]}",RICHMOND,11067812504134,NONE,07:33,-122.509056556821,37.7756418148757
100 Block of 12TH AV,VEHICLE THEFT,2011-12-01T00:00:00.000,Thursday,STOLEN AUTOMOBILE,110965825,"{u'type': u'Point', u'coordinates': [-122.471115864, 37.7854348824]}",RICHMOND,11096582507021,NONE,19:30,-122.471115863707,37.7854348824258
100 Block of WOOD ST,SUSPICIOUS OCC,2011-10-10T00:00:00.000,Monday,SUSPICIOUS OCCURRENCE,110891452,"{u'type': u'Point', u'coordinates': [-122.448985198, 37.7815086097]}",RICHMOND,11089145264070,UNFOUNDED,08:00,-122.448985197595,37.7815086096611
FULTON ST / 8TH AV,WARRANTS,2011-08-22T00:00:00.000,Monday,WARRANT ARREST,110673454,"{u'type': u'Point', u'coordinates': [-122.46588265, 37.7733973258]}",RICHMOND,11067345463010,"ARREST, BOOKED",12:50,-122.465882650289,37.7733973258174
2900 Block of PACIFIC AV,VANDALISM,2011-11-26T00:00:00.000,Saturday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",110952797,"{u'type': u'Point', u'coordinates': [-122.443857189, 37.7922450276]}",RICHMOND,11095279728160,NONE,16:30,-122.443857189176,37.7922450275779
0 Block of PRESIDIO TR,SUSPICIOUS OCC,2011-10-08T00:00:00.000,Saturday,SUSPICIOUS OCCURRENCE,110811400,"{u'type': u'Point', u'coordinates': [-122.460287517, 37.7883125143]}",RICHMOND,11081140064070,NONE,09:10,-122.460287517414,37.7883125142653
3000 Block of GEARY BL,VEHICLE THEFT,2011-11-05T00:00:00.000,Saturday,STOLEN AUTOMOBILE,110894688,"{u'type': u'Point', u'coordinates': [-122.451669862, 37.7820516462]}",RICHMOND,11089468807021,NONE,15:59,-122.451669861819,37.7820516462118
33RD AV / GEARY BL,LARCENY/THEFT,2011-11-15T00:00:00.000,Tuesday,GRAND THEFT PICKPOCKET,110922819,"{u'type': u'Point', u'coordinates': [-122.49329713, 37.7796862364]}",RICHMOND,11092281906112,NONE,08:45,-122.49329712989,37.7796862364357
700 Block of 15TH AV,MISSING PERSON,2011-09-21T00:00:00.000,Wednesday,FOUND PERSON,110762370,"{u'type': u'Point', u'coordinates': [-122.473425027, 37.7739804579]}",RICHMOND,11076237075000,NONE,07:00,-122.473425027413,37.7739804579466
500 Block of JOHNFKENNEDY DR,SUSPICIOUS OCC,2011-09-17T00:00:00.000,Saturday,SUSPICIOUS OCCURRENCE,110748944,"{u'type': u'Point', u'coordinates': [-122.466204668, 37.7725405392]}",RICHMOND,11074894464070,NONE,10:45,-122.466204667893,37.7725405391593
700 Block of 3RD AV,BURGLARY,2011-11-01T00:00:00.000,Tuesday,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",110894713,"{u'type': u'Point', u'coordinates': [-122.46053659, 37.7747629541]}",RICHMOND,11089471305043,NONE,18:00,-122.460536589808,37.7747629540653
5200 Block of CALIFORNIA ST,WEAPON LAWS,2011-09-04T00:00:00.000,Sunday,"AMMUNITION, POSS. BY PROHIBITED PERSON",110711349,"{u'type': u'Point', u'coordinates': [-122.473689526, 37.7843406364]}",RICHMOND,11071134912173,JUVENILE BOOKED,19:59,-122.473689525845,37.7843406363839
19TH AV / GEARY BL,OTHER OFFENSES,2011-09-30T00:00:00.000,Friday,TRAFFIC VIOLATION,110790371,"{u'type': u'Point', u'coordinates': [-122.478305503, 37.780381017]}",RICHMOND,11079037165015,"ARREST, CITED",22:11,-122.478305503287,37.7803810169602
600 Block of 17TH AV,VANDALISM,2011-10-27T00:00:00.000,Thursday,"MALICIOUS MISCHIEF, VANDALISM",110866740,"{u'type': u'Point', u'coordinates': [-122.475887383, 37.7757394027]}",RICHMOND,11086674028150,NONE,11:31,-122.475887383228,37.7757394027378
5300 Block of GEARY BL,SUSPICIOUS OCC,2011-11-20T00:00:00.000,Sunday,SUSPICIOUS OCCURRENCE,110935696,"{u'type': u'Point', u'coordinates': [-122.476708931, 37.7803322971]}",RICHMOND,11093569664070,NONE,14:30,-122.476708930505,37.7803322971369
900 Block of PRESIDIO AV,OTHER OFFENSES,2011-08-18T00:00:00.000,Thursday,TRAFFIC VIOLATION ARREST,110663778,"{u'type': u'Point', u'coordinates': [-122.445993011, 37.7829798695]}",RICHMOND,11066377865010,"ARREST, BOOKED",22:05,-122.445993010529,37.7829798694685
4000 Block of GEARY BL,OTHER OFFENSES,2011-10-04T00:00:00.000,Tuesday,PAROLE VIOLATION,110800889,"{u'type': u'Point', u'coordinates': [-122.462692656, 37.7812170727]}",RICHMOND,11080088926150,"ARREST, BOOKED",14:10,-122.462692656144,37.7812170727474
CABRILLO ST / LA PLAYA ST,DRUG/NARCOTIC,2011-10-21T00:00:00.000,Friday,POSSESSION OF NARCOTICS PARAPHERNALIA,110848986,"{u'type': u'Point', u'coordinates': [-122.510036841, 37.773257041]}",RICHMOND,11084898616710,"ARREST, BOOKED",02:20,-122.510036841034,37.7732570409944
2400 Block of BALBOA ST,SUSPICIOUS OCC,2011-10-09T00:00:00.000,Sunday,INVESTIGATIVE DETENTION,110814498,"{u'type': u'Point', u'coordinates': [-122.485002732, 37.7762220028]}",RICHMOND,11081449864085,NONE,12:00,-122.485002732035,37.7762220028281
400 Block of ELCAMINODELMAR ST,NON-CRIMINAL,2011-12-14T00:00:00.000,Wednesday,FOUND PROPERTY,110999090,"{u'type': u'Point', u'coordinates': [-122.487933519, 37.7875615269]}",RICHMOND,11099909072000,NONE,12:48,-122.487933519257,37.7875615269318
4600 Block of CABRILLO ST,OTHER OFFENSES,2011-06-28T00:00:00.000,Tuesday,HARASSING PHONE CALLS,110703700,"{u'type': u'Point', u'coordinates': [-122.508429297, 37.7732782239]}",RICHMOND,11070370028135,NONE,18:13,-122.508429297096,37.7732782238941
700 Block of 33RD AV,MISSING PERSON,2011-08-29T00:00:00.000,Monday,MISSING JUVENILE,110694074,"{u'type': u'Point', u'coordinates': [-122.492903088, 37.7749629648]}",RICHMOND,11069407474010,LOCATED,16:40,-122.492903087989,37.7749629647565
300 Block of JOHNFKENNEDY DR,LARCENY/THEFT,2011-09-26T00:00:00.000,Monday,GRAND THEFT FROM LOCKED AUTO,110776923,"{u'type': u'Point', u'coordinates': [-122.463332859, 37.7721623498]}",RICHMOND,11077692306244,NONE,16:30,-122.463332858858,37.7721623498449
3100 Block of GEARY BL,BURGLARY,2011-12-07T00:00:00.000,Wednesday,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",110981774,"{u'type': u'Point', u'coordinates': [-122.45264296, 37.7816667693]}",RICHMOND,11098177405013,NONE,11:15,-122.452642959771,37.781666769298
400 Block of 25TH AV,ASSAULT,2011-08-24T00:00:00.000,Wednesday,INFLICT INJURY ON COHABITEE,110680095,"{u'type': u'Point', u'coordinates': [-122.484870984, 37.7810373006]}",RICHMOND,11068009515040,NONE,17:30,-122.484870983681,37.7810373005583
400 Block of 31ST AV,BURGLARY,2011-10-25T00:00:00.000,Tuesday,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",110862566,"{u'type': u'Point', u'coordinates': [-122.491300789, 37.7807392349]}",RICHMOND,11086256605013,NONE,12:30,-122.491300789427,37.7807392349426
3300 Block of WASHINGTON ST,DRUG/NARCOTIC,2011-09-28T00:00:00.000,Wednesday,PLANTING/CULTIVATING MARIJUANA,110783746,"{u'type': u'Point', u'coordinates': [-122.448176111, 37.7897775245]}",RICHMOND,11078374616020,"ARREST, BOOKED",17:15,-122.44817611098,37.7897775244716
